NAME,Species,Origin, latitude, longitude
FISH,Brook Trout,Natural Occurrence,45.36778855,-61.96435155
FISHERMANS HARBOUR,Yellow Perch,Natural Occurrence,45.11826529,-61.73226662
FRASER,Brook Trout,Natural Occurrence,44.91254594,-62.63565006
G,Yellow Perch,Natural Occurrence,45.35735231,-61.97492196
GARY #2,Brook Trout,Natural Occurrence,45.33220918,-61.68245221
GARY #3,Brook Trout,Natural Occurrence,45.33220918,-61.68245221
GEGOGAN,Brook Trout,Natural Occurrence,45.06830836,-61.9547721
GIANT,Brook Trout,Natural Occurrence,45.39508962,-61.8813198
GLENELG,White Sucker,Natural Occurrence,45.26962626,-62.06318771
GOOSE HARBOUR,Brook Trout,Natural Occurrence,45.55051184,-61.41501186
GOSHEN,Yellow Perch,Natural Occurrence,45.37708877,-61.97754125
GRASSY,White Sucker,Natural Occurrence,45.09656046,-62.00360683
HANRAHAN,Brook Trout,Natural Occurrence,45.36022008,-61.92460187
HAZEL,Brook Trout,Natural Occurrence,45.32213089,-61.02157043
HOOPER,Brook Trout,Natural Occurrence,45.02110776,-62.05450634
HORSESHOE,Brook Trout,Natural Occurrence,45.29307608,-61.51559166
HUNTLEY,Brook Trout,Natural Occurrence,45.38329526,-62.04999486
ICE,Brook Trout,Natural Occurrence,45.33250011,-61.23108021
IRVING,Brook Trout,Natural Occurrence,45.42634194,-61.52603571
KIRBY,Brook Trout,Natural Occurrence,45.01424054,-62.06229743
LAWHIE,Brook Trout,Natural Occurrence,45.34994838,-61.93311977
LOCHIEL,Brook Trout,Natural Occurrence,45.35196764,-62.06052795
LONG JOHN,Creek Chub,Natural Occurrence,45.26089704,-62.55436616
LONGS,Brook Trout,Natural Occurrence,45.35900514,-61.68781851
LOUSE,Brook Trout,Natural Occurrence,44.97199828,-62.10426507
LOWER GASPEREAUX,Brook Trout,Natural Occurrence,45.05922348,-62.02686333
LOWER ROCKY,Brook Trout,Natural Occurrence,45.21287501,-62.54329247
MACGREGORS,Brook Trout,Natural Occurrence,45.40475683,-61.9320757
MACINNIS,Brook Trout,Natural Occurrence,45.40592335,-61.88460726
MACKINNONS,Brown Trout,Legal Introduction,45.39715465,-61.94703966
MACPHERSON,Brook Trout,Natural Occurrence,45.43321271,-61.42053679
MANASETTE,Brook Trout,Natural Occurrence,45.43417026,-61.34203644
MATTIE,Brook Trout,Natural Occurrence,45.60497475,-61.47498069
MCCARTHY,White Perch,Natural Occurrence,45.26404321,-62.13124433
MCLEOD,Brook Trout,Natural Occurrence,45.26102385,-62.14866306
MCMULLIN,Brook Trout,Natural Occurrence,45.26746725,-61.95937053
MEAGHERS,Brook Trout,Natural Occurrence,45.46143318,-61.51110244
MIDDLE,Brook Trout,Natural Occurrence,45.33832036,-61.84805413
MOSHERS,Brook Trout,Natural Occurrence,45.32533481,-61.81063611
MUD,White Sucker,Natural Occurrence,45.40822396,-61.80934482
MULGAMAN,Brook Trout,Natural Occurrence,45.33920242,-61.92945429
NARROW,Brown Trout,Legal Introduction,45.39738041,-61.84915435
OCEAN,Brook Trout,Natural Occurrence,45.23640694,-61.59711619
PALMER,Brook Trout,Natural Occurrence,45.298576,-61.9262653
PEMMON,Brook Trout,Natural Occurrence,45.25919554,-62.12119834
POLSEN,Brook Trout,Natural Occurrence,45.34668587,-61.95017145
PRINGLE,Brook Trout,Natural Occurrence,45.37682535,-61.94852822
PYE,Brook Trout,Natural Occurrence,44.97575737,-62.09012892
RUSH,Brook Trout,Natural Occurrence,45.20221087,-62.47092839
SECOND ROCKY,Brook Trout,Natural Occurrence,45.22973026,-62.54890274
SHERBROOKE,Yellow Perch,Natural Occurrence,45.13908188,-61.96682164
SIMPSON,Brook Trout,Natural Occurrence,45.44954885,-61.47677157
SINCLAIR,American Eel,Natural Occurrence,45.08144175,-62.02496149
SMELT,Brook Trout,Natural Occurrence,45.30610628,-61.1839643
SOUTHWEST,Brook Trout,Natural Occurrence,45.32734155,-61.28831998
SQUARE,Yellow Perch,Natural Occurrence,45.26337785,-61.96501545
SULLIVAN,American Eel,Natural Occurrence,45.40330661,-61.88395597
SUSIE,Brook Trout,Natural Occurrence,45.35356318,-61.67645428
THREE MILE,Brook Trout,Natural Occurrence,45.33522176,-61.07651695
TOM,Brook Trout,Natural Occurrence,45.32831912,-61.51231042
TWIN OAKS,Yellow Perch,Natural Occurrence,46.80562541,-60.50789532
UPPER INDIAN HARBOUR(3RD),Brook Trout,Natural Occurrence,45.15033073,-61.91787073
UPPER INDIAN HARBOUR(4TH),Brook Trout,Natural Occurrence,45.16592484,-61.94905636
UPPER INDIAN HARBOUR(6TH),Brook Trout,Natural Occurrence,45.17196513,-61.95988965
WALLACE,Yellow Perch,Natural Occurrence,45.31467534,-62.05731701
WALSH,Brook Trout,Natural Occurrence,45.44882278,-61.37828366
WEST RIVER,Blacknose Shiner,Natural Occurrence,45.11145101,-62.24303045
WHIDDEN,Nine Spine Stickleback,Natural Occurrence,45.23311939,-62.11321764
YANKEE,Brook Trout,Natural Occurrence,45.1361293,-62.14303267
ABRAHAMS,Brook Trout,Natural Occurrence,44.76621052,-62.98468443
ALBRO,Smallmouth Bass,Illegal Introduction,44.68913308,-63.57721869
ANDERSON,Brook Trout,Natural Occurrence,44.72662816,-63.6201225
ANTIDAM,Brook Trout,Natural Occurrence,45.11259523,-62.50003036
ARNOLD,Brook Trout,Natural Occurrence,44.84223059,-62.89328278
BAPTIZING,Brook Trout,Natural Occurrence,44.72446822,-63.7681317
BARE ROCK,American Eel,Natural Occurrence,44.80111666,-62.78427686
BARRETT,Smallmouth Bass,Illegal Introduction,44.81464614,-63.6872857
BAYER,Brook Trout,Natural Occurrence,44.81129016,-63.16047079
BEAVERBANK,Smallmouth Bass,Illegal Introduction,44.85697811,-63.66846271
BENNERY,Brook Trout,Natural Occurrence,44.89282395,-63.56524586
BIG BROOK,Brook Trout,Natural Occurrence,44.95824664,-62.52908821
BIG FIVE BRIDGE,Banded Killifish,Natural Occurrence,44.59022777,-63.82184474
BISETT,Smallmouth Bass,Illegal Introduction,44.65559555,-63.46996924
BLACK DUCK RUN,Mummichog,Natural Occurrence,44.5167052,-63.86666134
BOTTLE,Brook Trout,Natural Occurrence,44.74912426,-63.76967096
BRINE,Brook Trout,Natural Occurrence,44.61776663,-63.91758502
BURKE,Brook Trout,Natural Occurrence,45.09542573,-62.86456012
CATCHA,Brook Trout,Natural Occurrence,44.73597752,-63.19488125
CHARLES,Chain Pickerel,Illegal Introduction,44.72257076,-63.55113519
CHARLOTTE,Brook Trout,Natural Occurrence,44.82904463,-62.97561016
CHEZZETCOOK,Brown Bullhead,Natural Occurrence,44.77480466,-63.22876918
